Sample_No,Date,Sample_Point,Town,Measure,Result,Units
674507,2069-08-07,ME_15385,Merton,Turbidity,0.1,NTU
600786,2069-08-07,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
678568,2069-08-10,BL_10901,Blancathey,Chlorine Total,1.18,mg/L
676417,2069-08-10,BL_10901,Blancathey,E. coli,0,Orgs/100mL
638189,2069-08-10,BL_10901,Blancathey,Turbidity,0.1,NTU
612591,2069-08-14,WA_17036,Wakefield,Chlorine Total,1.4,mg/L
615465,2069-08-14,SN_10238,Snake's Canyon,Chlorine Total,0.87,mg/L
636066,2069-08-14,SW_10228,Swadlincote,Chlorine Total,0.35,mg/L
676991,2069-08-14,TA_13119,Tarnstead,Chlorine Total,0.2,mg/L
673297,2069-08-14,SO_15923,Southwold,Chlorine Total,0.17,mg/L
614552,2069-08-14,ME_14915,Merton,Chlorine Total,0.05,mg/L
626299,2069-08-14,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
686215,2069-08-14,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
691827,2069-08-14,ME_14915,Merton,E. coli,0,Orgs/100mL
693062,2069-08-14,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
645980,2069-08-14,WA_17036,Wakefield,E. coli,0,Orgs/100mL
693550,2069-08-14,SO_15923,Southwold,E. coli,0,Orgs/100mL
687859,2069-08-14,ME_14915,Merton,THM,0.003,mg/L
614255,2069-08-14,SO_15923,Southwold,THM,0.003,mg/L
611779,2069-08-14,WA_17036,Wakefield,THM,0.002,mg/L
660090,2069-08-14,TA_13119,Tarnstead,Turbidity,0.3,NTU
679835,2069-08-14,SN_10238,Snake's Canyon,Turbidity,0.2,NTU
621847,2069-08-14,WA_17036,Wakefield,Turbidity,0.2,NTU
611560,2069-08-14,SW_10228,Swadlincote,Turbidity,0.1,NTU
607293,2069-08-14,ME_14915,Merton,Turbidity,0.1,NTU
648236,2069-08-14,SO_15923,Southwold,Turbidity,0.1,NTU
633510,2069-08-16,BL_11246,Blancathey,Chlorine Total,0.65,mg/L
632307,2069-08-16,BL_11246,Blancathey,E. coli,0,Orgs/100mL
627217,2069-08-16,BL_11246,Blancathey,Turbidity,4.65,NTU
640711,2069-08-21,WA_13998,Wakefield,Chlorine Total,1.51,mg/L
692607,2069-08-21,TA_18826,Tarnstead,Chlorine Total,0.41,mg/L
690970,2069-08-21,ME_19428,Merton,Chlorine Total,0.31,mg/L
644535,2069-08-21,SW_10733,Swadlincote,Chlorine Total,0.28,mg/L
644519,2069-08-21,SN_16059,Snake's Canyon,Chlorine Total,0.19,mg/L
689319,2069-08-21,SO_17522,Southwold,Chlorine Total,0.025,mg/L
677295,2069-08-21,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
642754,2069-08-21,ME_19428,Merton,E. coli,0,Orgs/100mL
619135,2069-08-21,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
670209,2069-08-21,SO_17522,Southwold,E. coli,0,Orgs/100mL
634891,2069-08-21,WA_13998,Wakefield,E. coli,0,Orgs/100mL
602466,2069-08-21,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
644501,2069-08-21,SO_17522,Southwold,Turbidity,0.5,NTU
600145,2069-08-21,TA_18826,Tarnstead,Turbidity,0.2,NTU
681851,2069-08-21,WA_13998,Wakefield,Turbidity,0.2,NTU
653704,2069-08-21,SN_16059,Snake's Canyon,Turbidity,0.1,NTU
639517,2069-08-21,ME_19428,Merton,Turbidity,0.1,NTU
639844,2069-08-21,SW_10733,Swadlincote,Turbidity,0.1,NTU
668352,2069-08-23,BL_10984,Blancathey,Chlorine Total,0.91,mg/L
688023,2069-08-23,BL_10984,Blancathey,E. coli,0,Orgs/100mL
611339,2069-08-23,BL_10984,Blancathey,Turbidity,0.2,NTU
685711,2069-08-28,WA_16258,Wakefield,Chlorine Total,1.92,mg/L
608655,2069-08-28,SN_19642,Snake's Canyon,Chlorine Total,0.69,mg/L
675843,2069-08-28,SW_17048,Swadlincote,Chlorine Total,0.13,mg/L
679607,2069-08-28,SO_16361,Southwold,Chlorine Total,0.1,mg/L
610230,2069-08-28,ME_12236,Merton,Chlorine Total,0.06,mg/L
663682,2069-08-28,TA_16957,Tarnstead,Chlorine Total,0.025,mg/L
670007,2069-08-28,SO_16361,Southwold,E. coli,0,Orgs/100mL
667008,2069-08-28,ME_12236,Merton,E. coli,0,Orgs/100mL
649459,2069-08-28,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
674891,2069-08-28,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
622582,2069-08-28,WA_16258,Wakefield,E. coli,0,Orgs/100mL
649085,2069-08-28,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
610093,2069-08-28,TA_16957,Tarnstead,Turbidity,4.24,NTU
699037,2069-08-28,SO_16361,Southwold,Turbidity,0.5,NTU
657985,2069-08-28,SN_19642,Snake's Canyon,Turbidity,0.2,NTU
649404,2069-08-28,WA_16258,Wakefield,Turbidity,0.2,NTU
654956,2069-08-28,SW_17048,Swadlincote,Turbidity,0.2,NTU
678111,2069-08-28,ME_12236,Merton,Turbidity,0.1,NTU
606347,2069-08-30,BL_12796,Blancathey,Chlorine Total,0.72,mg/L
679205,2069-08-30,BL_12796,Blancathey,E. coli,0,Orgs/100mL
600929,2069-08-30,BL_12796,Blancathey,THM,0.002,mg/L
641424,2069-08-30,BL_12796,Blancathey,Turbidity,0.3,NTU
670396,2069-09-04,WA_19229,Wakefield,Chlorine Total,1.43,mg/L
656525,2069-09-04,SN_11009,Snake's Canyon,Chlorine Total,0.82,mg/L
669069,2069-09-04,WA_10539,Wakefield,Chlorine Total,0.66,mg/L
615818,2069-09-04,TA_19639,Tarnstead,Chlorine Total,0.38,mg/L
682260,2069-09-04,SO_18289,Southwold,Chlorine Total,0.23,mg/L
631593,2069-09-04,ME_16234,Merton,Chlorine Total,0.025,mg/L
656919,2069-09-04,SW_15551,Swadlincote,Chlorine Total,0.025,mg/L
633729,2069-09-04,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
688762,2069-09-04,ME_16234,Merton,E. coli,0,Orgs/100mL
647532,2069-09-04,SO_18289,Southwold,E. coli,0,Orgs/100mL
697259,2069-09-04,WA_19229,Wakefield,E. coli,0,Orgs/100mL
660529,2069-09-04,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
633905,2069-09-04,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
656593,2069-09-04,WA_10539,Wakefield,E. coli,0,Orgs/100mL
635548,2069-09-04,WA_10539,Wakefield,THM,0.003,mg/L
605700,2069-09-04,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
687715,2069-09-04,SO_18289,Southwold,Turbidity,0.2,NTU
663674,2069-09-04,SW_15551,Swadlincote,Turbidity,0.2,NTU
606738,2069-09-04,TA_19639,Tarnstead,Turbidity,0.2,NTU
604369,2069-09-04,WA_10539,Wakefield,Turbidity,0.1,NTU
682804,2069-09-04,ME_16234,Merton,Turbidity,0.05,NTU
632237,2069-09-06,BL_10027,Blancathey,Chlorine Total,1,mg/L
678821,2069-09-06,BL_10027,Blancathey,E. coli,0,Orgs/100mL
689613,2069-09-06,BL_10027,Blancathey,Turbidity,0.1,NTU
695853,2069-09-11,WA_15863,Wakefield,Chlorine Total,0.33,mg/L
663073,2069-09-11,TA_18683,Tarnstead,Chlorine Total,0.28,mg/L
637246,2069-09-11,SW_14121,Swadlincote,Chlorine Total,0.1,mg/L
626210,2069-09-11,SO_13252,Southwold,Chlorine Total,0.07,mg/L
654296,2069-09-11,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
677348,2069-09-11,ME_15385,Merton,Chlorine Total,0.025,mg/L
632306,2069-09-11,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
672965,2069-09-11,ME_15385,Merton,E. coli,0,Orgs/100mL
699592,2069-09-11,WA_15863,Wakefield,E. coli,0,Orgs/100mL
691126,2069-09-11,SO_13252,Southwold,E. coli,0,Orgs/100mL
636104,2069-09-11,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
683414,2069-09-11,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
647685,2069-09-11,SW_14121,Swadlincote,THM,0.011,mg/L
684291,2069-09-11,TA_18683,Tarnstead,THM,0.003,mg/L
603008,2069-09-11,SN_16059,Snake's Canyon,THM,0.001,mg/L
650200,2069-09-11,ME_15385,Merton,THM,0.001,mg/L
677829,2069-09-11,SW_14121,Swadlincote,Turbidity,0.3,NTU
680458,2069-09-11,SN_16059,Snake's Canyon,Turbidity,0.2,NTU
687344,2069-09-11,ME_15385,Merton,Turbidity,0.2,NTU
662145,2069-09-11,SO_13252,Southwold,Turbidity,0.2,NTU
686980,2069-09-11,TA_18683,Tarnstead,Turbidity,0.2,NTU
674973,2069-09-11,WA_15863,Wakefield,Turbidity,0.1,NTU
607387,2069-09-13,BL_15407,Blancathey,Chlorine Total,0.99,mg/L
677915,2069-09-13,BL_15407,Blancathey,E. coli,0,Orgs/100mL
621829,2069-09-13,BL_15407,Blancathey,Turbidity,7.81,NTU
632310,2069-09-18,WA_12574,Wakefield,Chlorine Total,1.65,mg/L
600048,2069-09-18,SO_12771,Southwold,Chlorine Total,0.38,mg/L
618974,2069-09-18,TA_18370,Tarnstead,Chlorine Total,0.1,mg/L
615498,2069-09-18,SN_15191,Snake's Canyon,Chlorine Total,0.05,mg/L
671754,2069-09-18,ME_14915,Merton,Chlorine Total,0.025,mg/L
627963,2069-09-18,SW_15541,Swadlincote,Chlorine Total,0.025,mg/L
698625,2069-09-18,ME_14915,Merton,E. coli,0,Orgs/100mL
602617,2069-09-18,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
628170,2069-09-18,SO_12771,Southwold,E. coli,0,Orgs/100mL
649171,2069-09-18,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
675351,2069-09-18,WA_12574,Wakefield,E. coli,0,Orgs/100mL
663896,2069-09-18,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
677242,2069-09-18,SO_12771,Southwold,THM,0.002,mg/L
689181,2069-09-18,SW_15541,Swadlincote,Turbidity,0.2,NTU
650902,2069-09-18,SO_12771,Southwold,Turbidity,0.2,NTU
631037,2069-09-18,TA_18370,Tarnstead,Turbidity,0.2,NTU
636342,2069-09-18,WA_12574,Wakefield,Turbidity,0.2,NTU
628934,2069-09-18,ME_14915,Merton,Turbidity,0.1,NTU
660134,2069-09-18,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
691625,2069-09-20,BL_15694,Blancathey,Chlorine Total,1.33,mg/L
647672,2069-09-20,BL_15694,Blancathey,E. coli,0,Orgs/100mL
609314,2069-09-20,BL_15694,Blancathey,Turbidity,0.2,NTU
634358,2069-09-25,WA_14286,Wakefield,Chlorine Total,1.13,mg/L
681667,2069-09-25,SO_12411,Southwold,Chlorine Total,0.36,mg/L
678280,2069-09-25,TA_15138,Tarnstead,Chlorine Total,0.32,mg/L
654080,2069-09-25,ME_19428,Merton,Chlorine Total,0.12,mg/L
633386,2069-09-25,SN_10238,Snake's Canyon,Chlorine Total,0.11,mg/L
680979,2069-09-25,SW_17608,Swadlincote,Chlorine Total,0.1,mg/L
644420,2069-09-25,ME_19428,Merton,E. coli,0,Orgs/100mL
637418,2069-09-25,WA_14286,Wakefield,E. coli,0,Orgs/100mL
602494,2069-09-25,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
693163,2069-09-25,SO_12411,Southwold,E. coli,0,Orgs/100mL
629161,2069-09-25,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
614368,2069-09-25,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
663396,2069-09-25,WA_14286,Wakefield,Turbidity,0.2,NTU
615876,2069-09-25,TA_15138,Tarnstead,Turbidity,0.2,NTU
699741,2069-09-25,SO_12411,Southwold,Turbidity,0.2,NTU
650876,2069-09-25,SW_17608,Swadlincote,Turbidity,0.2,NTU
682864,2069-09-25,ME_19428,Merton,Turbidity,0.1,NTU
645699,2069-09-25,SN_10238,Snake's Canyon,Turbidity,0.1,NTU
656092,2069-09-27,BL_11064,Blancathey,Chlorine Total,0.92,mg/L
633090,2069-09-27,BL_11064,Blancathey,E. coli,0,Orgs/100mL
643519,2069-09-27,BL_11064,Blancathey,THM,0.002,mg/L
625491,2069-09-27,BL_11064,Blancathey,Turbidity,0.2,NTU
630428,2069-10-04,BL_19383,Blancathey,Chlorine Total,1.02,mg/L
640482,2069-10-04,BL_19383,Blancathey,E. coli,0,Orgs/100mL
637227,2069-10-04,BL_19383,Blancathey,Turbidity,6.86,NTU
684045,2069-10-05,WA_11512,Wakefield,Chlorine Total,1.63,mg/L
690539,2069-10-05,WA_11283,Wakefield,Chlorine Total,1.54,mg/L
689180,2069-10-05,SN_11009,Snake's Canyon,Chlorine Total,0.58,mg/L
690967,2069-10-05,SO_17995,Southwold,Chlorine Total,0.37,mg/L
639085,2069-10-05,SW_14500,Swadlincote,Chlorine Total,0.22,mg/L
646978,2069-10-05,TA_16763,Tarnstead,Chlorine Total,0.1,mg/L
677996,2069-10-05,ME_12236,Merton,Chlorine Total,0.06,mg/L
698570,2069-10-05,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
679324,2069-10-05,ME_12236,Merton,E. coli,0,Orgs/100mL
603589,2069-10-05,WA_11512,Wakefield,E. coli,0,Orgs/100mL
674166,2069-10-05,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
616205,2069-10-05,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
654476,2069-10-05,SO_17995,Southwold,E. coli,0,Orgs/100mL
679456,2069-10-05,WA_11283,Wakefield,E. coli,0,Orgs/100mL
635040,2069-10-05,WA_11283,Wakefield,THM,0.005,mg/L
681901,2069-10-05,TA_16763,Tarnstead,THM,0.003,mg/L
618646,2069-10-05,ME_12236,Merton,THM,0.003,mg/L
635051,2069-10-05,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
638619,2069-10-05,TA_16763,Tarnstead,Turbidity,0.2,NTU
632742,2069-10-05,SW_14500,Swadlincote,Turbidity,0.2,NTU
608091,2069-10-05,SO_17995,Southwold,Turbidity,0.2,NTU
678242,2069-10-05,ME_12236,Merton,Turbidity,0.1,NTU
614700,2069-10-05,WA_11283,Wakefield,Turbidity,0.1,NTU
693300,2069-10-09,WA_11471,Wakefield,Chlorine Total,1.24,mg/L
620128,2069-10-09,SN_19642,Snake's Canyon,Chlorine Total,0.51,mg/L
663596,2069-10-09,SO_13001,Southwold,Chlorine Total,0.24,mg/L
600129,2069-10-09,SW_14394,Swadlincote,Chlorine Total,0.08,mg/L
695400,2069-10-09,ME_16234,Merton,Chlorine Total,0.025,mg/L
633177,2069-10-09,TA_13630,Tarnstead,Chlorine Total,0.025,mg/L
652451,2069-10-09,ME_16234,Merton,E. coli,0,Orgs/100mL
675503,2069-10-09,SO_13001,Southwold,E. coli,0,Orgs/100mL
608766,2069-10-09,WA_11471,Wakefield,E. coli,0,Orgs/100mL
689838,2069-10-09,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
616485,2069-10-09,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
684455,2069-10-09,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
600075,2069-10-09,SW_14394,Swadlincote,THM,0.006,mg/L
699846,2069-10-09,SO_13001,Southwold,THM,0.005,mg/L
676007,2069-10-09,SN_19642,Snake's Canyon,THM,0.003,mg/L
615203,2069-10-09,ME_16234,Merton,Turbidity,0.2,NTU
623577,2069-10-09,SW_14394,Swadlincote,Turbidity,0.2,NTU
691629,2069-10-09,SO_13001,Southwold,Turbidity,0.1,NTU
652883,2069-10-09,WA_11471,Wakefield,Turbidity,0.1,NTU
666750,2069-10-09,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
602169,2069-10-09,TA_13630,Tarnstead,Turbidity,0.1,NTU
656224,2069-10-11,BL_10901,Blancathey,Chlorine Total,1,mg/L
609539,2069-10-11,BL_10901,Blancathey,E. coli,0,Orgs/100mL
602784,2069-10-11,BL_10901,Blancathey,Turbidity,0.1,NTU
637455,2069-10-16,WA_12344,Wakefield,Chlorine Total,1.15,mg/L
619615,2069-10-16,SN_11009,Snake's Canyon,Chlorine Total,0.39,mg/L
696830,2069-10-16,SW_10228,Swadlincote,Chlorine Total,0.33,mg/L
612964,2069-10-16,TA_13119,Tarnstead,Chlorine Total,0.09,mg/L
692546,2069-10-16,ME_15385,Merton,Chlorine Total,0.025,mg/L
639092,2069-10-16,SO_15923,Southwold,Chlorine Total,0.025,mg/L
666074,2069-10-16,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
609097,2069-10-16,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
608877,2069-10-16,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
622707,2069-10-16,ME_15385,Merton,E. coli,0,Orgs/100mL
666888,2069-10-16,WA_12344,Wakefield,E. coli,0,Orgs/100mL
613762,2069-10-16,SO_15923,Southwold,E. coli,0,Orgs/100mL
618693,2069-10-16,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
684517,2069-10-16,SW_10228,Swadlincote,Turbidity,0.2,NTU
628790,2069-10-16,SO_15923,Southwold,Turbidity,0.2,NTU
652423,2069-10-16,TA_13119,Tarnstead,Turbidity,0.1,NTU
655139,2069-10-16,ME_15385,Merton,Turbidity,0.1,NTU
621332,2069-10-16,WA_12344,Wakefield,Turbidity,0.1,NTU
657090,2069-10-18,BL_11246,Blancathey,Chlorine Total,0.66,mg/L
636327,2069-10-18,BL_11246,Blancathey,E. coli,0,Orgs/100mL
625728,2069-10-18,BL_11246,Blancathey,Turbidity,0.1,NTU
674069,2069-10-25,WA_16411,Wakefield,Chlorine Total,1.54,mg/L
643855,2069-10-25,SW_10733,Swadlincote,Chlorine Total,0.58,mg/L
690371,2069-10-25,TA_18826,Tarnstead,Chlorine Total,0.21,mg/L
675025,2069-10-25,SO_17522,Southwold,Chlorine Total,0.12,mg/L
658553,2069-10-25,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
668684,2069-10-25,ME_14915,Merton,Chlorine Total,0.025,mg/L
650282,2069-10-25,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
645524,2069-10-25,WA_16411,Wakefield,E. coli,0,Orgs/100mL
631604,2069-10-25,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
693201,2069-10-25,ME_14915,Merton,E. coli,0,Orgs/100mL
639930,2069-10-25,SO_17522,Southwold,E. coli,0,Orgs/100mL
606057,2069-10-25,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
693970,2069-10-25,WA_16411,Wakefield,Turbidity,0.2,NTU
621843,2069-10-25,TA_18826,Tarnstead,Turbidity,0.2,NTU
667207,2069-10-25,SO_17522,Southwold,Turbidity,0.2,NTU
684272,2069-10-25,SW_10733,Swadlincote,Turbidity,0.2,NTU
637882,2069-10-25,SN_16059,Snake's Canyon,Turbidity,0.1,NTU
642877,2069-10-25,ME_14915,Merton,Turbidity,0.1,NTU
619542,2069-10-27,BL_10984,Blancathey,Chlorine Total,0.77,mg/L
607645,2069-10-27,BL_10984,Blancathey,E. coli,0,Orgs/100mL
676076,2069-10-27,BL_10984,Blancathey,THM,0.005,mg/L
634540,2069-10-27,BL_10984,Blancathey,Turbidity,4.48,NTU
686372,2069-10-30,SW_17048,Swadlincote,Chlorine Total,0.91,mg/L
680734,2069-10-30,WA_11938,Wakefield,Chlorine Total,0.44,mg/L
679565,2069-10-30,ME_19428,Merton,Chlorine Total,0.18,mg/L
642252,2069-10-30,SO_16361,Southwold,Chlorine Total,0.14,mg/L
605664,2069-10-30,SN_15191,Snake's Canyon,Chlorine Total,0.09,mg/L
681311,2069-10-30,TA_16957,Tarnstead,Chlorine Total,0.025,mg/L
646111,2069-10-30,SO_16361,Southwold,E. coli,0,Orgs/100mL
638871,2069-10-30,ME_19428,Merton,E. coli,0,Orgs/100mL
622953,2069-10-30,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
697773,2069-10-30,WA_11938,Wakefield,E. coli,0,Orgs/100mL
619474,2069-10-30,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
658308,2069-10-30,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
658981,2069-10-30,ME_19428,Merton,Turbidity,0.3,NTU
627502,2069-10-30,SO_16361,Southwold,Turbidity,0.2,NTU
692461,2069-10-30,WA_11938,Wakefield,Turbidity,0.2,NTU
648789,2069-10-30,TA_16957,Tarnstead,Turbidity,0.2,NTU
611020,2069-10-30,SW_17048,Swadlincote,Turbidity,0.2,NTU
618367,2069-10-30,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
620773,2069-11-02,BL_12796,Blancathey,Chlorine Total,0.57,mg/L
692179,2069-11-02,BL_12796,Blancathey,E. coli,0,Orgs/100mL
633203,2069-11-02,BL_12796,Blancathey,Turbidity,0.2,NTU
656566,2069-11-06,WA_13998,Wakefield,Chlorine Total,1.35,mg/L
616098,2069-11-06,WA_17036,Wakefield,Chlorine Total,1.07,mg/L
687797,2069-11-06,SW_15551,Swadlincote,Chlorine Total,0.26,mg/L
648357,2069-11-06,SO_18289,Southwold,Chlorine Total,0.07,mg/L
695522,2069-11-06,SN_10238,Snake's Canyon,Chlorine Total,0.06,mg/L
649564,2069-11-06,TA_19639,Tarnstead,Chlorine Total,0.06,mg/L
688040,2069-11-06,ME_12236,Merton,Chlorine Total,0.025,mg/L
635791,2069-11-06,SO_18289,Southwold,E. coli,0,Orgs/100mL
643643,2069-11-06,ME_12236,Merton,E. coli,0,Orgs/100mL
617774,2069-11-06,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
659510,2069-11-06,WA_17036,Wakefield,E. coli,0,Orgs/100mL
666442,2069-11-06,WA_13998,Wakefield,E. coli,0,Orgs/100mL
628848,2069-11-06,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
671391,2069-11-06,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
600254,2069-11-06,SW_15551,Swadlincote,THM,0.032,mg/L
662096,2069-11-06,TA_19639,Tarnstead,THM,0.006,mg/L
631666,2069-11-06,SN_10238,Snake's Canyon,THM,0.003,mg/L
653494,2069-11-06,TA_19639,Tarnstead,Turbidity,2.96,NTU
605936,2069-11-06,SO_18289,Southwold,Turbidity,0.2,NTU
663476,2069-11-06,ME_12236,Merton,Turbidity,0.2,NTU
694495,2069-11-06,SN_10238,Snake's Canyon,Turbidity,0.2,NTU
635905,2069-11-06,WA_17036,Wakefield,Turbidity,0.2,NTU
669463,2069-11-06,SW_15551,Swadlincote,Turbidity,0.2,NTU
636220,2069-11-08,BL_11064,Blancathey,Chlorine Total,0.61,mg/L
692268,2069-11-08,BL_11064,Blancathey,E. coli,0,Orgs/100mL
673263,2069-11-08,BL_11064,Blancathey,Turbidity,0.2,NTU
671364,2069-11-13,WA_16258,Wakefield,Chlorine Total,0.27,mg/L
645925,2069-11-13,TA_18683,Tarnstead,Chlorine Total,0.18,mg/L
692867,2069-11-13,SO_13252,Southwold,Chlorine Total,0.06,mg/L
681760,2069-11-13,ME_16234,Merton,Chlorine Total,0.025,mg/L
646997,2069-11-13,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
652105,2069-11-13,SW_14121,Swadlincote,Chlorine Total,0.025,mg/L
697576,2069-11-13,ME_16234,Merton,E. coli,0,Orgs/100mL
646462,2069-11-13,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
693944,2069-11-13,SO_13252,Southwold,E. coli,0,Orgs/100mL
635520,2069-11-13,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
678522,2069-11-13,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
685207,2069-11-13,WA_16258,Wakefield,E. coli,0,Orgs/100mL
614108,2069-11-13,ME_16234,Merton,THM,0.003,mg/L
648908,2069-11-13,SO_13252,Southwold,THM,0.003,mg/L
633900,2069-11-13,WA_16258,Wakefield,THM,0.003,mg/L
624619,2069-11-13,ME_16234,Merton,Turbidity,0.3,NTU
653971,2069-11-13,SN_16059,Snake's Canyon,Turbidity,0.2,NTU
642730,2069-11-13,SO_13252,Southwold,Turbidity,0.2,NTU
626042,2069-11-13,TA_18683,Tarnstead,Turbidity,0.2,NTU
632415,2069-11-13,SW_14121,Swadlincote,Turbidity,0.2,NTU
620717,2069-11-13,WA_16258,Wakefield,Turbidity,0.2,NTU
604602,2069-11-15,BL_15407,Blancathey,Chlorine Total,0.9,mg/L
646758,2069-11-15,BL_15407,Blancathey,E. coli,0,Orgs/100mL
650126,2069-11-15,BL_15407,Blancathey,THM,0.002,mg/L
634566,2069-11-15,BL_15407,Blancathey,Turbidity,0.5,NTU
671479,2069-11-20,SW_15541,Swadlincote,Chlorine Total,0.37,mg/L
629988,2069-11-20,SN_19642,Snake's Canyon,Chlorine Total,0.29,mg/L
601249,2069-11-20,TA_18370,Tarnstead,Chlorine Total,0.13,mg/L
646638,2069-11-20,SO_12771,Southwold,Chlorine Total,0.06,mg/L
668730,2069-11-20,ME_15385,Merton,Chlorine Total,0.025,mg/L
649038,2069-11-20,WA_10539,Wakefield,Chlorine Total,0.025,mg/L
669880,2069-11-20,ME_15385,Merton,E. coli,0,Orgs/100mL
628288,2069-11-20,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
643435,2069-11-20,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
619470,2069-11-20,SO_12771,Southwold,E. coli,0,Orgs/100mL
600963,2069-11-20,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
652350,2069-11-20,WA_10539,Wakefield,E. coli,0,Orgs/100mL
665807,2069-11-20,TA_18370,Tarnstead,Turbidity,3.03,NTU
688321,2069-11-20,SW_15541,Swadlincote,Turbidity,0.3,NTU
649800,2069-11-20,ME_15385,Merton,Turbidity,0.2,NTU
607770,2069-11-20,SN_19642,Snake's Canyon,Turbidity,0.2,NTU
650657,2069-11-20,SO_12771,Southwold,Turbidity,0.2,NTU
694778,2069-11-20,WA_10539,Wakefield,Turbidity,0.2,NTU
651675,2069-11-22,BL_15694,Blancathey,Chlorine Total,1.43,mg/L
635525,2069-11-22,BL_15694,Blancathey,E. coli,0,Orgs/100mL
668640,2069-11-22,BL_15694,Blancathey,Turbidity,0.2,NTU
618385,2069-11-27,WA_19229,Wakefield,Chlorine Total,1.18,mg/L
645493,2069-11-27,SN_11009,Snake's Canyon,Chlorine Total,0.12,mg/L
667371,2069-11-27,TA_15138,Tarnstead,Chlorine Total,0.025,mg/L
652354,2069-11-27,SO_12411,Southwold,Chlorine Total,0.025,mg/L
652781,2069-11-27,ME_14915,Merton,Chlorine Total,0.025,mg/L
690377,2069-11-27,SW_17608,Swadlincote,Chlorine Total,0.025,mg/L
607278,2069-11-27,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
694648,2069-11-27,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
694884,2069-11-27,SO_12411,Southwold,E. coli,0,Orgs/100mL
672399,2069-11-27,ME_14915,Merton,E. coli,0,Orgs/100mL
680787,2069-11-27,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
667568,2069-11-27,WA_19229,Wakefield,E. coli,0,Orgs/100mL
643109,2069-11-27,SO_12411,Southwold,Turbidity,0.3,NTU
681876,2069-11-27,ME_14915,Merton,Turbidity,0.3,NTU
681292,2069-11-27,SW_17608,Swadlincote,Turbidity,0.3,NTU
613325,2069-11-27,WA_19229,Wakefield,Turbidity,0.3,NTU
681965,2069-11-27,TA_15138,Tarnstead,Turbidity,0.2,NTU
621364,2069-11-27,SN_11009,Snake's Canyon,Turbidity,0.1,NTU
635859,2069-11-29,BL_11064,Blancathey,Chlorine Total,0.45,mg/L
